survey_version,in_pot_or_ground ,country,region,latitude,longitude,final_height_(cm),alive,number_of_stems,start_year,start_height (cm),watering,fertiliser, 
LONG,ground,England,UK,51.66066805,-0.390404101,396,Yes,1,2015,91.44,YESWATER,No,Sandy
LONG,ground,England,UK,51.67094042,-1.288168134,120,Yes,1,2010,50,YESWATER,No,
LONG,ground,England,UK,51.68494969,-0.610122564,274,Yes,2,2012,30.48,YESWATER,No,
LONG,ground,Ireland,UK,51.70324821,-9.024521442,250,Yes,1,2014,125,NOWATER,No,Peaty
LONG,,Ireland,UK,51.74834836,-8.725048074,229,Yes,1,,121.92,YESWATER,No,Potting mix
LONG,pot,England,UK,51.75226625,-0.338478403,200,Yes,3,2007,30,YESWATER,No,Potting mix
SHORT,pot,England ,UK,51.75241983,-0.33822756,130,Yes,1,,,,,
LONG,ground,England,UK,51.75295926,-0.340391094,394,Yes,2,2004,38.1,NOWATER,No,Clay
SHORT,ground,England ,UK,51.75356808,-1.256853945,300,Yes,1,,,YESWATER,,
LONG,ground,England ,UK,51.75629121,-0.650452418,518,Yes,1,2010,76.2,NOWATER,No,Peaty
LONG,ground,England,UK,51.77226525,0.74923934,123,Yes,1,2006,25,,No,Sandy
SHORT,ground,England,UK,51.77347978,-1.653798351,160,Yes,1,,,,,
LONG,ground,England,UK,51.77394882,0.597356375,107,Yes,2,2011,22.86,NOWATER,Yes,Loamy
LONG,ground,England,UK,51.77394882,0.597356375,122,Yes,2,,,,,
LONG,pot,England ,UK,51.78651306,-1.774596245,107,Yes,1,2015,76.2,YESWATER,Yes,Potting mix
LONG,pot,England,UK,51.79739434,0.637681903,46,Yes,1,,,,,
LONG,ground,England ,UK,51.80506869,-2.451567668,150,Yes,3,,,,,
LONG,ground,England,UK,51.80643571,-1.636532934,400,Yes,1,2008,50,YESWATER,Yes,Potting mix
LONG,ground,Wales,UK,51.82462217,-3.018401604,140,Yes,1,2008,76,YESWATER,No,Clay
LONG,ground,Wales,UK,51.85618174,-3.142400352,250,Yes,1,,,,,
LONG,ground,Wales,UK,51.85941212,-3.135397647,230,Yes,1,,,,,
SHORT,ground,England ,UK,51.87085569,0.692741068,250,Yes,,,,,,
LONG,ground,England,UK,51.87091616,0.693711099,244,Yes,1,,,,,
LONG,ground,England,UK,51.87286541,-2.406630018,178,Yes,1,2018,,,,Loamy
LONG,ground,Ireland ,UK,51.87729164,-8.437277666,518,Yes,1,2009,60,NOWATER,Yes,Clay
SHORT,ground,Ireland,UK,51.89397735,-8.303853457,400,Yes,2,,,,,
LONG,ground,Ireland,UK,51.89406388,-8.476442823,500,Yes,1,,,,,
LONG,ground,England,UK,51.89503188,0.672917578,610,Yes,,2007,45.72,NOWATER,No,Loamy
SHORT,ground,England ,UK,51.89596555,0.892837595,61,Yes,,,,,,
LONG,ground,Ireland,UK,51.89639488,-8.477469912,60,Yes,1,2017,40,NOWATER,No,
LONG,pot,Netherlands,Europe,51.92986827,4.444822173,240,Yes,1,2006,50,YESWATER,No,Potting mix
LONG,ground,Ireland,UK,51.93422622,-8.561889715,400,Yes,1,,,NOWATER,No,Loamy
LONG,ground,England ,UK,51.9536852,0.489459461,300,Yes,4,2015,200,YESWATER,No,Sandy
SHORT,ground,England,UK,52.00151919,-1.726001374,600,Yes,,,,,,
LONG,ground,England ,UK,52.03469621,-0.329338122,140,Yes,1,2005,30,YESWATER,Yes,Loamy
LONG,ground,England,UK,52.05928128,-2.233769889,163,Yes,1,2012,20.32,YESWATER,Yes,Peaty
LONG,ground,England ,UK,52.0714557,-1.239889365,200,Yes,1,,,,,
LONG,ground,England ,UK,52.07237497,1.09731675,190,Yes,1,2015,75,YESWATER,No,Clay
LONG,ground,England,UK,52.07239308,1.09728768,205,Yes,1,,,,,
LONG,ground,England,UK,52.07592111,-3.125655566,200,Yes,1,2012,50,NOWATER,No,Clay
SHORT,ground,England,UK,52.08043306,-0.343287755,120,Yes,1,,,,,
