"pointid","Date","Month","Colony","NestBox","Retrap / new","Sex","Wgt","Age","Breeding status","Pouch","Location","Forest_type","Old_growth","east","north","zone","hemisphere","lat","lon","psf","grid_conv","DEM","Slope","Aspect","TWI","Relative Slope Index 10m Resolution","Valley Depth  10 m Resolution","Slope Length Factor 10 m Resolution","Leo location"
131,"18/10/2018","October","SNCK16","SNCK16-2","New","Male",156.0,,"Breeding",,"Snobs Creek","Rainforest","No",405142,5861886,55,"South",-37.38493104,145.9284839,0.99971084,-0.650638,910.3599854,4.597809792,6.614630222,9.491869926,0.00873231,103.9970016,8.924839973,
132,"9/11/2018","November","NLR5","NLR5","New","Male",139.0,,,,"Toorongo (Newlands Rd)","Wet or Damp forests","No ",427475,5819821,55,"South",-37.76606366,146.1765659,0.99966478,-0.504325,1046.48999,7.060080051,142.7100067,7.52215004,0.152446002,31.14380074,1.928709984," Toorongo Plateau, MtnAsh HighEle"
133,"9/11/2018","November","NLL24","NLL24","New","Male",122.0,,"Non",,"Toorongo (Newlands Rd)","SubAlpine Woodland","No",428781,5819780,55,"South",-37.76653584,146.1913885,0.99966247,-0.495251,1045.119995,4.539279938,43.89730072,6.21118021,0.003673,65.06590271,2.496500015," Toorongo Plateau, MtnAsh HighEle"
134,"5/7/2019","July ","DSN13","DSN13C","New","Male",131.0,,"Non",,"Dowey Spur","Wet or Damp forests","No",396876,5811496,55,"South",-37.83814361,145.8280229,0.99973098,-0.718993,706.3530273,2.345249891,97.75330353,6.253950119,0.901014984,2.567260027,0.447158009,"Dowey Spur, MtnAsh LowEle"
135,"17/9/2019","September","DSN35","DSN35","New","Male",101.0,,,,"Dowey Spur","Wet or Damp forests","No",398319,5810579,55,"South",-37.84656902,145.8442901,0.99972734,-0.709145,703.5100098,3.105679989,47.72409821,7.132719994,0.858038008,4.753359795,1.166389942,"Dowey Spur, MtnAsh LowEle"
137,"26/11/2019","November","NLR15","NLR15","Retrap","Male",139.0,,,,"Toorongo (Newlands Rd)","Riparian Woodlands","No ",428579,5820042,55,"South",-37.76415884,146.189121,0.99966283,-0.496614,1044.380005,2.313210011,294.0669861,9.390800476,0.000933071,64.69869995,1.419100046," Toorongo Plateau, MtnAsh HighEle"
138,"17/7/2019","July ","DSN6","DSN6A","New","Male",123.0,,,,"Dowey Spur","Wet or Damp forests","No",398031,5811063,55,"South",-37.84217539,145.8410856,0.99972806,-0.711042,681.7860107,18.92700005,311.4339905,6.33134985,0.117164001,17.79739952,16.4932003,"Dowey Spur, MtnAsh LowEle"
140,"6/4/2011","April ","BFTQ","BFTQ1","New","Male",135.0,,,,"Mt Bullfight","Wet or Damp forests","No",404147,5857221,55,"South",-37.42687057,145.916641,0.99971317,-0.65846,1346.949951,8.822620392,286.3590088,7.482220173,0.0273981,46.41019821,4.767260075,
141,"6/4/2011","April ","BFTQ","BFTQ1","New","Female",126.0,,"Breeding","Lactating 2 teats","Mt Bullfight","Wet or Damp forests","No",404147,5857221,55,"South",-37.42687057,145.916641,0.99971317,-0.65846,1346.949951,8.822620392,286.3590088,7.482220173,0.0273981,46.41019821,4.767260075,
142,"7/4/2011","April ","BFTG","BFTG1","New","Male",146.0,,,,"Mt Bullfight","SubAlpine Woodland","No",405006,5855223,55,"South",-37.44496547,145.9260908,0.99971115,-0.652985,1434.359985,6.158100128,106.0319977,7.978270054,0.828401983,9.008210182,4.392039776,
